crime,admissions,releases,total
arson,50,55,142
assault,2394,2239,5593
auto_theft,948,838,1939
burglary_or_criminal_trespass,1524,1630,3005
child_or_adult_abuse,162,152,304
child_molestation,191,160,1769
criminal_damage,153,136,182
domestic_violence,184,202,148
drug_possession,4045,3556,3958
drug_trafficking,1724,2443,5023
dui,1186,1305,1457
escape,104,110,156
forgery,275,331,358
fraud,113,91,309
identity_theft,186,151,395
kidnapping,216,233,1342
manslaughter_or_neg_homicide,113,111,757
murder,162,142,3097
other,990,991,1551
rape_or_sexual_assault,80,73,573
robbery,873,872,3571
sex_offense,640,560,2857
theft,804,867,1002
trafficking_in_stolen_property,302,328,695
weapons_offense,944,872,1930
