crime,admissions,releases,total
arson,56,53,144
assault,2281,2270,5590
auto_theft,957,820,2061
burglary_or_criminal_trespass,1444,1529,2871
child_or_adult_abuse,167,158,320
child_molestation,141,155,1745
criminal_damage,110,137,155
domestic_violence,195,183,167
drug_possession,4066,3964,4081
drug_trafficking,1722,1991,4850
dui,1211,1144,1501
escape,119,111,179
forgery,322,299,380
fraud,92,111,289
identity_theft,190,185,393
kidnapping,221,251,1312
manslaughter_or_neg_homicide,110,116,753
murder,169,116,3166
other,1058,977,1653
rape_or_sexual_assault,86,62,590
robbery,834,813,3574
sex_offense,599,534,2910
theft,828,784,1034
trafficking_in_stolen_property,267,306,651
weapons_offense,916,903,1943
